yield,winter,ears,pH,P,K,Mg
7.06,235,628,7,118,222,62
7.094,307,764,6.9,117,114,47
7.171,213,636,6,60,127,46
7.305,202,556,5.5,41,72,50
7.313,204,748,5.2,55,60,50
7.366,308,648,5.2,45,98,53
7.515,236,572,6.5,97,92,48
7.585,210,736,5.8,55,97,46
7.663,204,740,5.8,46,105,50
7.704,298,584,6.5,88,110,45
7.735,363,584,6.4,61,96,60
7.811,233,616,5.5,53,112,43
7.818,267,592,6.5,95,100,49
7.828,277,632,5.7,60,95,54
7.864,205,728,5.8,54,96,54
7.865,268,776,6.6,101,128,49
7.928,278,756,6.5,120,131,52
7.961,244,756,5.5,42,80,48
8.007,310,744,6.2,100,100,52
8.009,186,692,5.7,57,170,46
8.065,378,932,6.2,77,218,46
8.099,214,752,5.7,58,95,50
8.112,259,692,5.2,33,72,48
8.142,265,824,6,73,160,52
8.182,234,764,5.6,39,104,52
8.189,268,808,5.4,77,106,55
8.195,199,680,5.6,47,88,52
8.225,224,612,6,67,104,58
8.269,227,632,5.3,45,88,48
8.284,224,736,5.5,54,167,45
8.287,274,584,5.4,60,122,54
8.288,273,644,6.3,87,128,50
8.297,280,808,5.5,50,77,48
8.326,269,840,5.7,68,84,58
8.332,194,684,5.8,62,69,69
8.337,234,656,5.6,65,171,45
8.338,282,684,6.2,77,84,56
8.339,322,724,6.4,72,110,49
8.362,235,560,5.3,37,68,48
8.368,162,912,5.8,55,69,49
8.377,278,764,5.4,58,119,53
8.395,260,704,5.9,48,86,52
8.402,263,772,5.6,37,84,48
8.44,224,592,5.6,106,124,43
8.466,287,756,6.1,77,324,56
8.482,281,564,5.8,58,92,50
8.492,211,640,5.9,53,86,54
8.498,209,692,6.2,55,92,56
8.52,332,748,6.1,92,184,54
8.549,288,620,5.7,64,94,38
8.625,280,756,5.4,42,100,45
8.637,311,672,6,100,106,49
8.64,268,836,6.2,92,108,54
8.66,220,840,5.6,57,78,43
8.692,246,732,6,83,84,42
8.711,252,560,5.5,50,86,50
8.722,242,816,6.1,81,120,48
8.742,339,708,5.7,49,122,56
8.751,335,764,5.8,66,84,43
8.76,360,968,6.4,77,88,44
8.761,344,596,5.5,46,112,54
8.774,272,712,5.5,45,98,50
8.791,318,724,5.9,90,119,53
8.803,272,764,5.9,91,106,48
8.808,215,688,5.5,42,95,48
8.819,329,584,5.7,67,130,47
8.822,258,828,5.5,45,77,49
8.841,247,688,5.8,41,80,56
8.848,367,648,5.8,61,119,48
8.849,328,652,6.1,67,106,54
8.863,332,612,5.8,49,114,42
8.873,253,648,5.2,41,68,49
8.906,337,680,5.7,76,115,48
8.917,315,736,5.4,43,80,48
8.934,369,800,6.3,61,100,50
8.95,214,828,5.5,56,77,52
8.951,279,732,5.6,71,76,61
8.982,324,660,5.6,55,122,60
8.993,290,604,5.8,70,110,60
8.996,207,684,5.9,58,80,43
9.001,311,795,5.9,79,282,53
9.01,303,692,5.6,52,72,42
9.03,242,692,5.7,53,88,49
9.04,290,712,5.5,46,93,45
9.065,321,740,6.1,90,76,46
9.099,221,776,5.9,79,66,46
9.128,303,736,6.2,75,95,48
9.155,298,848,6.3,86,78,43
9.242,332,620,6.3,51,86,46
9.244,256,768,5.4,38,80,49
9.327,351,628,5.7,71,88,50
9.333,346,668,6.4,68,104,61
9.382,235,680,5.5,80,100,52
9.389,306,856,5.9,60,110,72
9.46,352,796,6.3,62,118,64
9.487,294,732,6.2,80,84,59
9.539,337,808,6.3,48,114,68
9.676,324,840,5.8,79,122,56
9.7,401,676,5.8,65,88,60
9.738,320,564,6.1,84,88,44
